"","district","dem_share","dem_win_pct"
"1","AK 00",44.5076084828958,10.8166666666667
"2","AL 01",NA,0
"3","AL 02",43.0082830583148,5.93333333333333
"4","AL 03",34.8585678941305,0.04
"5","AL 04",NA,0
"6","AL 05",34.8704054311597,0.0233333333333333
"7","AL 06",27.1871109318985,0
"8","AL 07",NA,100
"9","AR 01",NA,0
"10","AR 02",43.6680769558705,7.62666666666667
"11","AR 03",NA,0
"12","AR 04",NA,0
"13","AZ 01",57.6057203940325,95.5633333333333
"14","AZ 02",54.2031785887992,74.37
"15","AZ 03",NA,100
"16","AZ 04",30.1808065548742,0
"17","AZ 05",37.9602439977113,0.336666666666667
"18","AZ 06",43.6956432846039,7.72
"19","AZ 07",80.9025220119981,100
"20","AZ 08",NA,0
"21","AZ 09",60.0174054519105,93.9966666666667
"22","CA 01",42.5704065237994,4.85
"23","CA 02",81.8952296921396,100
"24","CA 03",61.7032837934151,99.5866666666667
"25","CA 04",41.7383581642046,3.18666666666667
"26","CA 05",NA,100
"27","CA 06",NA,100
"28","CA 07",56.9940303885166,94.3
"29","CA 08",NA,100
"30","CA 09",62.7638690642427,99.78
"31","CA 10",52.6237394995076,72.2766666666667
"32","CA 11",79.0710638718482,100
"33","CA 12",NA,100
"34","CA 13",NA,100
"35","CA 14",87.1106498534172,100
"36","CA 15",79.5848876209515,100
"37","CA 16",63.587079276756,99.88
"38","CA 17",NA,100
"39","CA 18",79.8269245883043,100
"40","CA 19",NA,100
"41","CA 20",NA,100
"42","CA 21",52.1280544098042,68.0466666666667
"43","CA 22",39.6426035275452,0.98
"44","CA 23",35.4520534062243,0.0666666666666667
"45","CA 24",62.4559066615512,99.7266666666667
"46","CA 25",52.4455432209402,70.7066666666667
"47","CA 26",65.0428985208814,99.9633333333333
"48","CA 27",NA,100
"49","CA 28",83.1439431775221,100
"50","CA 29",NA,100
"51","CA 30",78.0628333114139,100
"52","CA 31",62.1499813594353,99.7066666666667
"53","CA 32",NA,100
"54","CA 33",73.764557242609,100
"55","CA 34",NA,100
"56","CA 35",77.0567515613591,100
"57","CA 36",62.7168304858132,99.7466666666667
"58","CA 37",NA,100
"59","CA 38",75.4807832481752,100
"60","CA 39",56.0678593644452,82.96
"61","CA 40",NA,100
"62","CA 41",69.3339478918198,100
"63","CA 42",44.8480510802338,12.6733333333333
"64","CA 43",84.4648233598974,100
"65","CA 44",NA,100
"66","CA 45",49.0637312350539,41.58
"67","CA 46",NA,100
"68","CA 47",69.0851692034052,100
"69","CA 48",48.4678343311638,36.7933333333333
"70","CA 49",55.4810413006277,80.5033333333333
"71","CA 50",41.0167889177861,2.26
"72","CA 51",79.1280938259267,100
"73","CA 52",62.962898694996,99.7766666666667
"74","CA 53",72.0801768583602,100
"75","CO 01",77.7462206464134,100
"76","CO 02",62.8027491131281,97.7333333333333
"77","CO 03",45.7845028962702,17.4733333333333
"78","CO 04",36.937617461201,0.176666666666667
"79","CO 05",36.6338693040964,0.143333333333333
"80","CO 06",52.6925456914939,72.7733333333333
"81","CO 07",61.4915539991637,99.48
"82","CT 01",68.4142346853727,100
"83","CT 02",63.5938042305509,99.9066666666667
"84","CT 03",68.9176176852504,99.9966666666667
"85","CT 04",65.2987046029915,99.9766666666667
