district,dem16share,incumbent16,pres16share,incumbent18,concede
AK 00,-8.045977011,-1,-8.407079646,-1,0
AL 02,-4.6,-1,-16.29213483,-1,0
AL 03,-17.1,-1,-16.9057377,-1,0
AL 05,-16.8,-1,-17.39583333,-1,0
AL 06,-24.8,-1,-23.06501548,-1,0
AR 02,-11.34453782,-1,-5.68544102,-1,0
AZ 01,3.870625663,0,-0.583244963,1,0
AZ 02,-6.7,-1,2.598091198,0,0
AZ 04,-21.5,-1,-21.11344538,-1,0
AZ 05,-13.1,0,-11.21147715,-1,0
AZ 06,-11.6,-1,-5.274261603,-1,0
AZ 07,24.6,1,26.05932203,1,0
AZ 09,11.1,1,8.754027927,0,0
CA 01,-9.5,-1,-10.62567422,-1,0
CA 02,27.1,1,24.75622969,1,0
CA 03,8.2,1,6.745182013,1,0
CA 04,-12.8,-1,-7.877813505,-1,0
CA 07,1.2,1,6.115879828,1,0
CA 09,7.6,1,9.830866808,1,0
CA 10,-2.4,-1,1.595744681,-1,0
CA 11,21.8,1,25.90233546,1,0
CA 14,30.9,1,30.86225026,1,0
CA 15,23.8,1,24.282678,1,0
CA 16,7.8,1,11.44067797,1,0
CA 18,21.2,1,28.41880342,1,0
CA 21,-8,-1,8.166491043,-1,0
CA 22,-18.2,-1,-5.015839493,-1,0
CA 23,-20,-1,-11.67728238,-1,0
CA 24,3.2,0,10.83690987,1,0
CA 25,-4.2,-1,3.567625133,-1,0
CA 26,9.9,1,11.66134185,1,0
CA 28,27.9,1,26.37711864,1,0
CA 30,22.4,1,22.89029536,1,0
CA 31,5.7,1,11.18769883,1,0
CA 33,16.3,1,21.89819724,1,0
CA 35,21.8,1,21.56448203,1,0
CA 36,11.4,1,4.60251046,1,0
CA 38,19.7,1,20.97457627,1,0
CA 39,-7.7,-1,4.555084746,0,0
CA 41,14.4,1,14.82465462,1,0
CA 42,-9,-1,-6.329113924,-1,0
CA 43,25.6,1,32.43953733,1,0
CA 45,-9,-1,2.866242038,-1,0
CA 47,12.5,1,16.88034188,1,0
CA 48,-8.5,-1,0.903294368,-1,0
CA 49,-1,-1,3.993610224,0,0
CA 50,-13.9,-1,-7.961783439,-1,0
CA 51,21.9,1,25.89852008,1,0
CA 52,6.4,1,12.00640342,1,0
CA 53,16.1,1,18.54410202,1,0
CO 01,20.47817048,1,24.8373102,1,0
CO 02,10.29723992,1,11.69045005,0,0
CO 03,-7.352941176,-1,-6.52173913,-1,0
CO 04,-16.94648478,-1,-12.59541985,-1,0
CO 05,-16.9527897,-1,-13.27433628,-1,0
CO 06,-4.749199573,-1,4.863387978,-1,0
CO 07,7.983193277,1,6.607929515,1,0
CT 01,14.96424923,1,12.06896552,1,0
CT 02,15.01547988,1,1.534391534,1,0
CT 03,18.7,1,8.047767394,1,0
CT 04,10.1,1,11.95426195,1,0
CT 05,7.9,1,2.142110763,0,0
DE 00,7.512953368,0,6.033578174,1,0
FL 01,-19.1,0,-20.53291536,-1,0
FL 02,-19.23868313,0,-18.38842975,-1,0
FL 03,-8.774662513,-1,-8.298755187,-1,0
FL 04,-21.7791411,0,-14.55301455,-1,0
FL 05,14.2,0,13.06584362,1,0
FL 06,-8.6,-1,-8.780991736,0,0
FL 07,1.5,-1,3.821989529,1,0
FL 08,-16.0041841,-1,-10.77003122,-1,0
FL 09,7.5,0,6.670113754,1,0
FL 10,14.9,0,13.9089969,1,0
FL 11,-17.42268041,-1,-16.59815005,-1,0
FL 12,-18.6,-1,-9.667359667,-1,0
FL 13,1.9,-1,1.666666667,1,0
FL 14,11.8,1,9.459459459,1,0
FL 15,-7.5,-1,-5.197505198,-1,0
FL 16,-9.8,-1,-5.532574974,-1,0
