"","district","dem_share","dem_win_pct"
"1","AK 00",44.8524770089732,12.4525
"2","AL 02",43.4126911111504,6.7725
"3","AL 03",35.283273325787,0.05
"4","AL 05",35.2107603876661,0.04
"5","AL 06",27.5517929524296,0
"6","AR 02",44.0325465516961,8.84
"7","AZ 01",58.0154466794672,96.6075
"8","AZ 04",30.5116128515558,0
"9","AZ 05",38.3481462250252,0.44
"10","AZ 06",44.0676846658188,9.1425
"11","AZ 07",81.2717049450393,100
"12","CA 01",42.9115015993173,5.4725
"13","CA 02",82.2405166155261,100
"14","CA 03",62.0759671020575,99.69
"15","CA 04",42.1322801883862,3.8525
"16","CA 07",57.3888619166111,95.11
"17","CA 09",63.0915182013996,99.8275
"18","CA 10",53.023818623742,75.36
"19","CA 11",79.4547976216896,100
"20","CA 14",87.4691181161988,100
"21","CA 15",79.977034477515,100
"22","CA 16",63.9676357711372,99.92
"23","CA 18",80.2214347082846,100
"24","CA 21",52.5222585725995,71.5025
"25","CA 22",40.0111146548132,1.345
"26","CA 23",35.8237926028151,0.0575
"27","CA 24",62.8323291739082,99.76
"28","CA 25",52.8063110133061,73.8425
"29","CA 26",65.4130266415699,99.9775
"30","CA 28",83.516200051416,100
"31","CA 30",78.4583515616657,100
"32","CA 31",62.5484875115577,99.7125
"33","CA 33",74.1465920044049,100
"34","CA 35",77.4730664971757,100
"35","CA 36",63.1168910457163,99.8325
"36","CA 38",75.8556713412145,100
"37","CA 41",69.6774385296206,100
"38","CA 42",45.2230405129845,14.285
"39","CA 43",84.8761901164163,100
"40","CA 45",49.4576461855403,45.0575
"41","CA 47",69.4244020123096,100
"42","CA 48",48.9027633223527,40.13
"43","CA 50",41.3457551339713,2.455
"44","CA 51",79.5313880816676,100
"45","CA 52",63.3672723839586,99.825
"46","CA 53",72.4885472285725,100
"47","CO 01",78.1321036776728,100
"48","CO 03",46.1643989111239,19.145
"49","CO 04",37.3645297187554,0.2325
"50","CO 05",37.0117843724615,0.195
"51","CO 06",53.0451876518867,75.395
"52","CO 07",61.8518430535363,99.57
"53","CT 01",68.7914347584254,99.9975
"54","CT 02",63.9581646056708,99.91
"55","CT 03",69.3111205088672,99.9975
"56","CT 04",65.6506115688873,99.9825
"57","DE 00",63.3166427994345,99.85
"58","FL 01",30.2966942066399,0
"59","FL 02",31.1768734065662,0.005
"60","FL 03",44.4419315731757,10.2225
